X,Y,OBJECTID,ID,CD,NANOS,VZMPAT,VZMMPPT,PCDIFMMPT,DSFAIXADIF
-72.814,-5.13899999999995,1,1,10200000,,662.53,633.97,4.51,"-4,9% a 5%"
-70.9059999999999,-4.34099999999995,2,2,10500000,,2904.03,2558.73,13.49,"5,1% a 25%"
-68.912,-3.45699999999994,3,3,11400000,,50147.3,45272.68,10.77,"5,1% a 25%"
-67.936,-3.10199999999998,4,4,11500000,,61614.31,57162.36,7.79,"5,1% a 25%"
-72.716,-9.40999999999997,5,5,12360000,,192.38,169.45,13.54,"5,1% a 25%"
-72.785,-8.94599999999997,6,6,12370000,,513.48,404.89,26.82,"25,1% a 50%"
-73.664,-7.44799999999998,7,7,12400000,,30.3,33.32,-9.06,"-24,9% a -5%"
-72.66,-7.63299999999998,8,8,12500000,,915.5,1002.72,-8.7,"-24,9% a -5%"
-71.689,-7.05599999999993,9,9,12520000,,1369.91,1414.69,-3.17,"-4,9% a 5%"
-70.3559999999999,-8.16399999999993,10,10,12650000,,402.83,452.35,-10.95,"-24,9% a -5%"
-68.246,-6.43999999999994,11,11,12700000,,4192.51,4015.65,4.4,"-4,9% a 5%"
-69.4279999999999,-1.39499999999992,12,12,12845000,,13645.49,14348.64,-4.9,"-4,9% a 5%"
-63.028,-4.05799999999994,13,13,13150000,,91292.76,86380.74,5.69,"5,1% a 25%"
-68.5769999999999,-9.04399999999993,14,14,13410000,,1131.08,1423.26,-20.53,"-24,9% a -5%"
-68.7449999999999,-11.018,15,15,13470000,,133.5,121.03,10.31,"5,1% a 25%"
-68.508,-10.651,16,16,13550000,,230.39,207.5,11.03,"5,1% a 25%"
-67.801,-9.97499999999997,17,17,13600002,,423.33,359.39,17.79,"5,1% a 25%"
-67.3969999999999,-9.06699999999995,18,18,13650000,,630.94,624,1.11,"-4,9% a 5%"
-67.3749999999999,-8.65299999999996,19,19,13710001,,2055.86,2079,-1.11,"-4,9% a 5%"
-66.9999999999999,-7.71599999999995,20,20,13750000,,3953.54,3839.04,2.98,"-4,9% a 5%"
-64.7979999999999,-7.25799999999998,21,21,13870000,,5572.27,5886.52,-5.34,"-24,9% a -5%"
-64.386,-6.53899999999993,22,22,13880000,,6312.86,6518.96,-3.16,"-4,9% a 5%"
-60.609,-3.31099999999998,23,23,14100000,,105940.38,101044.35,4.85,"-4,9% a 5%"
-66.853,1.21500000000003,24,24,14110000,,5231.08,4946.05,5.76,"5,1% a 25%"
-67.595,1.07400000000007,25,25,14230000,,1865.99,1864.04,0.1,"-4,9% a 5%"
-67.313,0.372,26,26,14250000,,8982.18,8462.63,6.14,"5,1% a 25%"
-69.128,0.477,27,27,14260000,,2599.48,2432.33,6.87,"5,1% a 25%"
-68.539,0.13,28,28,14280001,,3002,2778.51,8.04,"5,1% a 25%"
-69.785,0.249,29,29,14300000,,134.6,132.41,1.66,"-4,9% a 5%"
-69.378,0.209,30,30,14310000,,337.99,330.93,2.13,"-4,9% a 5%"
-66.802,-0.201,31,31,14330000,,13605.34,12861.69,5.78,"5,1% a 25%"
-67.009,-0.246,32,32,14350000,,950.95,934.7,1.74,"-4,9% a 5%"
-64.829,-0.482,33,33,14420000,,18619.77,17626.51,5.64,"5,1% a 25%"
-62.622,0.884,34,34,14440000,,550.3,492.39,11.76,"5,1% a 25%"
-63.169,3.55000000000007,35,35,14488000,,601.88,586.35,2.65,"-4,9% a 5%"
-61.037,3.43800000000005,36,36,14495000,,1157.5,1165.24,-0.66,"-4,9% a 5%"
-60.571,3.20800000000003,37,37,14515000,,1510.04,1469.32,2.77,"-4,9% a 5%"
-59.811,3.38100000000003,38,38,14526000,,180.7,197.9,-8.69,"-24,9% a -5%"
-60.794,4.19600000000003,39,39,14530000,,63.64,74.06,-14.08,"-24,9% a -5%"
-60.5289999999999,4.16800000000006,40,40,14550000,,178.05,147.93,20.37,"5,1% a 25%"
-61.441,2.87100000000004,41,41,14680001,,330.05,319.65,3.25,"-4,9% a 5%"
-61.124,1.82100000000003,42,42,14710000,,2936.48,3041.47,-3.45,"-4,9% a 5%"
-59.8339999999999,-3.19599999999997,43,43,15040000,,14572.87,12556.73,16.06,"5,1% a 25%"
-59.354,-15.215,44,44,15050000,,56.17,58.03,-3.2,"-4,9% a 5%"
-59.958,-15.009,45,45,15120001,,116.56,126.17,-7.62,"-24,9% a -5%"
-61.05,-13.4859999999999,46,46,15130000,,506.79,492.98,2.8,"-4,9% a 5%"
-62.8989999999999,-12.8509999999999,47,47,15150000,,905.92,901.75,0.46,"-4,9% a 5%"
-64.425,-12.427,48,48,15200000,,2283.36,2415.16,-5.46,"-24,9% a -5%"
-65.348,-10.7929999999999,49,49,15250000,,7894,7839.38,0.7,"-4,9% a 5%"
-65.367,-9.70499999999993,50,50,15320002,,18757.73,17882.92,4.89,"-4,9% a 5%"
-65.528,-9.78499999999997,51,51,15326000,,793.8,584.41,35.83,"25,1% a 50%"
-63.917,-8.74799999999993,52,52,15400000,,19488.84,18945.1,2.87,"-4,9% a 5%"
-63.071,-9.92599999999993,53,53,15430000,,218.82,185.04,18.26,"5,1% a 25%"
-62.985,-9.88699999999994,54,54,15431000,,27.56,26.35,4.59,"-4,9% a 5%"
-63.288,-9.76099999999997,55,55,15432000,,24.95,26.78,-6.83,"-24,9% a -5%"
-63.711,-8.79899999999998,56,56,15550000,,395.76,342.57,15.53,"5,1% a 25%"
-60.8679999999999,-11.749,57,57,15552600,,127.07,112.9,12.55,"5,1% a 25%"
-61.192,-11.684,58,58,15558000,,250.83,224.93,11.52,"5,1% a 25%"
-61.215,-11.653,59,59,15559000,,415.37,359.63,15.5,"5,1% a 25%"
-61.936,-10.874,60,60,15560000,,839.37,731.51,14.74,"5,1% a 25%"
-62.466,-10.446,61,61,15565000,,96.91,89.9,7.8,"5,1% a 25%"
-62.056,-8.93199999999996,62,62,15580000,,1639.03,1499.91,9.28,"5,1% a 25%"
-63.018,-7.50299999999993,63,63,15630000,,23323.99,22757.28,2.49,"-4,9% a 5%"
-61.302,-5.81699999999995,64,64,15700000,,24226.91,24988.14,-3.05,"-4,9% a 5%"
-59.466,-10.1689999999999,65,65,15750000,,274.6,312.96,-12.26,"-24,9% a -5%"
-60.578,-7.70599999999996,66,66,15800000,,1510.71,1418.66,6.49,"5,1% a 25%"
-60.65,-7.20799999999997,67,67,15830000,,3446.34,3160.63,9.04,"5,1% a 25%"
-59.042,-6.79599999999994,68,68,15910000,,463.15,433.8,6.76,"5,1% a 25%"
-59.6829999999999,-7.10099999999994,69,69,15930000,,201.79,185.41,8.83,"5,1% a 25%"
-59.3439999999999,-2.10599999999994,70,70,16100000,,309.96,726.11,-57.31,"-74,9% a -50%"
-55.513,-1.91899999999993,71,71,17050001,,176517.18,166277.78,6.16,"5,1% a 25%"
-54.8729999999999,-1.50299999999993,72,72,17090000,,187.7,176.64,6.26,"5,1% a 25%"
-58.343,-11.3579999999999,73,73,17093000,,1346.96,1449.23,-7.06,"-24,9% a -5%"
-58.0479999999999,-11.718,74,74,17095000,,529,511.7,3.38,"-4,9% a 5%"
-57.424,-11.537,75,75,17120000,,744.83,728.6,2.23,"-4,9% a 5%"
-55.335,-13.5579999999999,76,76,17200000,,232.9,261.25,-10.85,"-24,9% a -5%"
-55.7929999999999,-12.674,77,77,17210000,,303.38,332.9,-8.87,"-24,9% a -5%"
-55.703,-11.6519999999999,78,78,17280000,,782.67,826.77,-5.33,"-24,9% a -5%"
-55.571,-10.1129999999999,79,79,17340000,,1196.25,1184.24,1.01,"-4,9% a 5%"
-54.9039999999999,-9.35899999999998,80,80,17345000,,22.56,26.33,-14.31,"-24,9% a -5%"
-54.886,-9.81699999999995,81,81,17350000,,33.1,30.83,7.36,"5,1% a 25%"
-56.0189999999999,-9.64099999999996,82,82,17380000,,2148.62,2058,4.4,"-4,9% a 5%"
-57.9499999999999,-7.61499999999995,83,83,17420000,,3715.02,3814.29,-2.6,"-4,9% a 5%"
-58.155,-7.33999999999997,84,84,17430000,,8653.04,8503.46,1.76,"-4,9% a 5%"
-54.3969999999999,-1.77899999999994,85,85,18200000,,140.6,154.86,-9.21,"-24,9% a -5%"
-53.554,-3.67699999999996,86,86,18250000,,39.51,43.7,-9.6,"-24,9% a -5%"
-54.4449999999999,-13.141,87,87,18420000,,66.63,80.96,-17.7,"-24,9% a -5%"
-51.9949999999999,-6.73599999999993,88,88,18460000,,3868.11,3618.82,6.89,"5,1% a 25%"
-51.7739999999999,-6.74499999999995,89,89,18500000,,996.62,887.8,12.26,"5,1% a 25%"
-54.521,-5.64999999999998,90,90,18650000,,739.58,813.9,-9.13,"-24,9% a -5%"
-52.2119999999999,-3.21499999999997,91,91,18850000,,10612.13,8517.56,24.59,"5,1% a 25%"
-52.58,-0.554,92,92,19100000,,80.29,66.37,20.98,"5,1% a 25%"
-50.64,-3.85099999999994,93,93,19985000,,140.91,141.63,-0.51,"-4,9% a 5%"
-49.3219999999999,-15.7239999999999,94,94,20100000,,26.4,34.91,-24.35,"-24,9% a -5%"
-49.691,-15.496,95,95,20200000,,49.78,61.23,-18.7,"-24,9% a -5%"
-49.552,-15.275,96,96,20250000,,155.67,162.73,-4.34,"-4,9% a 5%"
-47.047,-14.451,97,97,21220000,,33.72,60.34,-44.11,"-49,9% a -25%"
-46.491,-14.477,98,98,21300000,,38.12,53.89,-29.28,"-49,9% a -25%"
-46.838,-13.763,99,99,21500000,,125.91,191.14,-34.13,"-49,9% a -25%"
-46.78,-13.499,100,100,21560000,,34.43,42.22,-18.45,"-24,9% a -5%"
-46.4689999999999,-13.5509999999999,101,101,21580000,,9.72,10.45,-7.05,"-24,9% a -5%"
-47.138,-13.425,102,102,21600000,,140.31,275.25,-49.03,"-49,9% a -25%"
-46.5119999999999,-12.7939999999999,103,103,21750000,,31.86,36.6,-12.96,"-24,9% a -5%"
-47.196,-12.417,104,104,21850000,,162.61,222.42,-26.89,"-49,9% a -25%"
-48.533,-12.023,105,105,22050001,,1098.07,1534.34,-28.43,"-49,9% a -25%"
-48.7119999999999,-12.3919999999999,106,106,22100000,,71.28,95.43,-25.3,"-49,9% a -25%"
-48.657,-11.982,107,107,22150000,,108.46,162.56,-33.28,"-49,9% a -25%"
-47.045,-11.6109999999999,108,108,22190000,,32.73,41.75,-21.61,"-24,9% a -5%"
-47.8369999999999,-11.759,109,109,22220000,,99.76,127.21,-21.58,"-24,9% a -5%"
-48.2889999999999,-11.533,110,110,22250000,,115.55,177.45,-34.88,"-49,9% a -25%"
-47.473,-9.99499999999995,111,111,22680000,,222.05,281.03,-20.99,"-24,9% a -5%"
-47.675,-9.96299999999997,112,112,22700000,,234.73,293.21,-19.95,"-24,9% a -5%"
-47.929,-9.30699999999996,113,113,22900000,,562.73,701.83,-19.82,"-24,9% a -5%"
-48.1109999999999,-8.39199999999994,114,114,23100000,,2400.04,3166.69,-24.21,"-24,9% a -5%"
-47.765,-8.39199999999994,115,115,23150000,,38.32,48.27,-20.61,"-24,9% a -5%"
-47.261,-7.96299999999997,116,116,23230000,,70.54,77.05,-8.45,"-24,9% a -5%"
-47.312,-7.70799999999997,117,117,23250000,,133.65,153.47,-12.92,"-24,9% a -5%"
-47.4689999999999,-5.78899999999993,118,118,23700000,,3293.32,4321.76,-23.8,"-24,9% a -5%"
-52.55,-16.201,119,119,24200000,,279.26,339.41,-17.72,"-24,9% a -5%"
-53.5479999999999,-16.078,120,120,24500000,,86.38,109.49,-21.11,"-24,9% a -5%"
-52.228,-15.891,121,121,24700000,,545.09,668.66,-18.48,"-24,9% a -5%"
-51.4689999999999,-16.302,122,122,24750000,,74.05,121.32,-38.96,"-49,9% a -25%"
-51.816,-16.4309999999999,123,123,24780000,,18.62,26.86,-30.68,"-49,9% a -25%"
-51.853,-15.8899999999999,124,124,24800000,,135.75,206.99,-34.42,"-49,9% a -25%"
-51.828,-15.7379999999999,125,125,24850000,,701.31,880.74,-20.37,"-24,9% a -5%"
-50.997,-16.513,126,126,24900000,,22.99,33.74,-31.88,"-49,9% a -25%"
-51.3579999999999,-15.9399999999999,127,127,24950000,,113.06,132.49,-14.66,"-24,9% a -5%"
-50.172,-15.922,128,128,25100000,,4.64,5.36,-13.34,"-24,9% a -5%"
-50.439,-15.8969999999999,129,129,25120000,,2.31,3.6,-35.81,"-49,9% a -25%"
-50.705,-15.5359999999999,130,130,25130000,,57.22,78.02,-26.67,"-49,9% a -25%"
-51.081,-14.913,131,131,25200000,,990.73,1247.99,-20.61,"-24,9% a -5%"
-50.8,-13.6899999999999,132,132,25700000,,1136.66,1384.8,-17.92,"-24,9% a -5%"
-53.056,-15.249,133,133,26050000,,342.62,384.5,-10.89,"-24,9% a -5%"
-52.355,-14.6729999999999,134,134,26100000,,439.31,530.87,-17.25,"-24,9% a -5%"
-51.696,-14.0869999999999,135,135,26200000,,623.49,737.85,-15.5,"-24,9% a -5%"
-50.9639999999999,-12.292,136,136,26300000,,820.67,923.69,-11.15,"-24,9% a -5%"
-50.663,-11.6179999999999,137,137,26350000,,2231.51,2708.81,-17.62,"-24,9% a -5%"
-49.948,-12.0989999999999,138,138,26710000,,131.21,193.19,-32.08,"-49,9% a -25%"
-49.5889999999999,-12.4179999999999,139,139,26720000,,56.09,71.45,-21.49,"-24,9% a -5%"
-49.934,-10.5649999999999,140,140,26800000,,378.43,528.33,-28.37,"-49,9% a -25%"
-49.378,-9.18399999999997,141,141,27380000,,23.53,26.4,-10.89,"-24,9% a -5%"
-49.259,-8.26899999999995,142,142,27500000,,4005.99,4940.28,-18.91,"-24,9% a -5%"
-49.045,-7.61399999999998,143,143,27550000,,23.25,28.5,-18.42,"-24,9% a -5%"
-48.6109999999999,-7.14599999999996,144,144,28150000,,28.61,33.71,-15.13,"-24,9% a -5%"
-48.47,-6.67199999999997,145,145,28240000,,70.4,78.51,-10.33,"-24,9% a -5%"
-48.542,-6.40999999999997,146,146,28300000,,4686.62,5656.58,-17.15,"-24,9% a -5%"
-48.133,-5.65099999999995,147,147,28850000,,5085.35,6024.63,-15.59,"-24,9% a -5%"
-49.124,-5.33899999999994,148,148,29050000,,8766.07,10276.6,-14.7,"-24,9% a -5%"
-49.2209999999999,-5.48699999999997,149,149,29100000,,613.57,637.4,-3.74,"-4,9% a 5%"
-49.653,-3.75799999999992,150,150,29700000,,10848.79,11422.79,-5.03,"-24,9% a -5%"
-51.706,0.986,151,151,30080000,,399.81,327.05,22.25,"5,1% a 25%"
-52.016,0.901,152,152,30300000,,408.65,358.58,13.96,"5,1% a 25%"
-51.439,0.708,153,153,30400000,,1460.86,977.29,49.48,"25,1% a 50%"
-47.0549999999999,-1.86699999999996,154,154,31490000,,86.87,88.86,-2.25,"-4,9% a 5%"
-47.066,-1.54099999999994,155,155,31520000,,131.61,137.4,-4.22,"-4,9% a 5%"
-47.117,-1.65199999999993,156,156,31600000,,1.34,1.14,17.22,"5,1% a 25%"
-48.085,-3.13699999999994,157,157,31680000,,458.29,478.38,-4.2,"-4,9% a 5%"
-47.768,-2.51299999999998,158,158,31700000,,597.03,608.32,-1.86,"-4,9% a 5%"
-46.591,-1.73499999999996,159,159,32450002,,77.57,75.63,2.57,"-4,9% a 5%"
-46.8459999999999,-3.31999999999994,160,160,32540000,,130.08,119.06,9.25,"5,1% a 25%"
-46.8029999999999,-2.77199999999993,161,161,32550000,,72.06,74.95,-3.86,"-4,9% a 5%"
-46.316,-1.80099999999993,162,162,32620000,,482.52,476.99,1.16,"-4,9% a 5%"
-45.956,-2.05399999999997,163,163,32740000,,58.91,61.56,-4.3,"-4,9% a 5%"
-45.667,-2.94399999999996,164,164,32830000,,75.63,88.28,-14.33,"-24,9% a -5%"
-45.785,-2.50299999999993,165,165,32850000,,17.56,19.88,-11.67,"-24,9% a -5%"
-45.98,-5.76599999999996,166,166,33025000,,32.04,21.61,48.28,"25,1% a 50%"
-46.494,-4.29899999999998,167,167,33075000,,5.31,4.47,18.69,"5,1% a 25%"
-45.7789999999999,-4.03399999999993,168,168,33170000,,19.93,20.79,-4.11,"-4,9% a 5%"
-45.466,-3.65999999999997,169,169,33190000,,211.8,213.02,-0.57,"-4,9% a 5%"
-45.9829999999999,-5.76699999999994,170,170,33205000,,21.57,25.98,-16.99,"-24,9% a -5%"
-45.318,-5.73499999999996,171,171,33215000,,17.35,22.66,-23.42,"-24,9% a -5%"
-45.244,-5.50099999999998,172,172,33250000,,47.61,58.13,-18.09,"-24,9% a -5%"
-44.961,-5.10199999999998,173,173,33260000,,46.18,58.81,-21.48,"-24,9% a -5%"
-44.9279999999999,-5.41899999999993,174,174,33270000,,1.11,2.17,-48.75,"-49,9% a -25%"
-44.6109999999999,-4.56999999999994,175,175,33281000,,68.95,89.51,-22.97,"-24,9% a -5%"
-44.6759999999999,-4.36999999999995,176,176,33286000,,78.78,98.56,-20.07,"-24,9% a -5%"
-44.7649999999999,-4.21899999999994,177,177,33290000,,81.79,108.63,-24.7,"-24,9% a -5%"
-46.1419999999999,-5.82199999999995,178,178,33321000,,20.68,23.3,-11.25,"-24,9% a -5%"
-46.24,-5.59399999999994,179,179,33330000,,13.13,15.17,-13.48,"-24,9% a -5%"
-45.218,-3.77199999999993,180,180,33380000,,79.58,104.1,-23.56,"-24,9% a -5%"
-44.36,-6.37099999999998,181,181,33420000,,12.59,18.06,-30.26,"-49,9% a -25%"
-44.708,-6.06699999999995,182,182,33450000,,25.8,32.4,-20.36,"-24,9% a -5%"
-44.34,-6.00699999999995,183,183,33460000,,26.43,32.63,-18.99,"-24,9% a -5%"
-44.249,-6.02099999999996,184,184,33480000,,40.94,55.72,-26.52,"-49,9% a -25%"
-43.586,-5.70599999999996,185,185,33520000,,3.61,6.64,-45.54,"-49,9% a -25%"
-43.884,-5.33699999999993,186,186,33530000,,43.99,62.86,-30.02,"-49,9% a -25%"
-43.3679999999999,-4.86499999999995,187,187,33550000,,49.62,73.16,-32.17,"-49,9% a -25%"
-43.8749999999999,-4.45799999999997,188,188,33590000,,75.99,112.89,-32.69,"-49,9% a -25%"
-43.9329999999999,-4.46499999999997,189,189,33620000,,22.55,38.83,-41.94,"-49,9% a -25%"
-44.1299999999999,-4.12599999999998,190,190,33630000,,112.74,165.2,-31.76,"-49,9% a -25%"
-44.379,-3.62799999999993,191,191,33680000,,172.33,232.33,-25.82,"-49,9% a -25%"
-43.703,-3.57799999999997,192,192,33730000,,20.55,31.74,-35.25,"-49,9% a -25%"
-43.525,-3.33499999999998,193,193,33760000,,16.85,26.04,-35.31,"-49,9% a -25%"
-43.872,-3.55299999999994,194,194,33780000,,74.18,97.51,-23.92,"-24,9% a -5%"
-45.9259999999999,-9.11299999999994,195,195,34020000,,89.4,109.06,-18.03,"-24,9% a -5%"
-45.254,-7.56699999999995,196,196,34060000,,175.16,216.99,-19.28,"-24,9% a -5%"
-44.8269999999999,-7.38099999999997,197,197,34070000,,183.7,222.31,-17.37,"-24,9% a -5%"
-44.614,-7.39099999999996,198,198,34090000,,28.22,35.02,-19.4,"-24,9% a -5%"
-46.0359999999999,-7.53399999999993,199,199,34130000,,88.43,97.12,-8.94,"-24,9% a -5%"
-44.814,-7.08199999999994,200,200,34170000,,156.98,185.47,-15.36,"-24,9% a -5%"
-45.0289999999999,-9.57999999999993,201,201,34230000,,1.36,2.27,-39.95,"-49,9% a -25%"
-44.206,-8.79299999999995,202,202,34251000,,7.26,19.24,-62.24,"-74,9% a -50%"
-43.643,-7.24799999999993,203,203,34270000,,14.22,31.52,-54.88,"-74,9% a -50%"
-43.028,-6.76099999999997,204,204,34311000,,369.75,495.81,-25.42,"-49,9% a -25%"
-42.544,-7.23399999999998,205,205,34571000,,2.35,5.18,-54.66,"-74,9% a -50%"
-42.6969999999999,-6.62199999999996,206,206,34600000,,16.33,37.24,-56.15,"-74,9% a -50%"
-43.0239999999999,-5.57199999999995,207,207,34660000,,401.63,539.47,-25.55,"-49,9% a -25%"
-42.811,-5.13499999999993,208,208,34690000,,418.47,603.83,-30.7,"-49,9% a -25%"
-41.7379999999999,-5.22299999999996,209,209,34750000,,11.32,27.96,-59.52,"-74,9% a -50%"
-42.2139999999999,-5.66599999999994,210,210,34770000,,43.25,78.09,-44.61,"-49,9% a -25%"
-42.6969999999999,-5.20299999999997,211,211,34789000,,64.11,104.7,-38.77,"-49,9% a -25%"
-42.3699999999999,-3.45399999999995,212,212,34879500,,494.98,703.12,-29.6,"-49,9% a -25%"
-42.23,-3.90299999999996,213,213,34940000,,60.72,90.12,-32.62,"-49,9% a -25%"
-41.9739999999999,-3.72399999999993,214,214,34980000,,87,131.48,-33.83,"-49,9% a -25%"
-40.4299999999999,-4.14399999999995,215,215,35235000,,3.14,10.03,-68.67,"-74,9% a -50%"
-40.318,-4.19499999999994,216,216,35240000,,3.58,6.18,-42.1,"-49,9% a -25%"
-40.3799999999999,-3.90899999999993,217,217,35260000,,2.05,6.57,-68.72,"-74,9% a -50%"
-40.3389999999999,-3.68799999999993,218,218,35275000,,11.97,45.24,-73.53,"-74,9% a -50%"
-39.085,-3.40799999999996,219,219,35570000,,2.41,13.79,-82.55,-100% a -75%
-38.78,-4.19299999999993,220,220,35740000,,0.47,2.14,-78,-100% a -75%
-38.943,-4.65799999999996,221,221,35830000,,0.46,4.62,-90.13,-100% a -75%
-40.162,-6.32399999999996,222,222,36020000,,0.56,6.45,-91.27,-100% a -75%
-39.9619999999999,-6.64599999999996,223,223,36045000,,0.07,1.74,-95.79,-100% a -75%
-39.509,-6.55799999999994,224,224,36125000,,3.9,5.6,-30.31,"-49,9% a -25%"
-39.4999999999999,-6.53399999999993,225,225,36130000,,5.48,10.7,-48.78,"-49,9% a -25%"
-39.2929999999999,-6.37399999999997,226,226,36160000,,5.75,28.19,-79.6,-100% a -75%
-39.1439999999999,-7.22199999999998,227,227,36210000,,2.04,4.59,-55.49,"-74,9% a -50%"
-38.985,-7.29999999999995,228,228,36250000,,1.07,3.25,-66.96,"-74,9% a -50%"
-38.867,-6.40699999999993,229,229,36290000,,13.89,25.49,-45.51,"-49,9% a -25%"
-38.633,-5.89999999999998,230,230,36320000,,20.08,55,-63.5,"-74,9% a -50%"
-38.198,-5.22799999999995,231,231,36390000,,10.88,76.18,-85.71,-100% a -75%
-39.292,-5.20099999999996,232,232,36520000,,0.91,11.77,-92.3,-100% a -75%
-38.446,-5.12199999999996,233,233,36580000,,4.2,24.77,-83.04,-100% a -75%
-37.5149999999999,-5.44999999999993,234,234,37084000,,2.01,7.46,-73.1,"-74,9% a -50%"
-37.2549999999999,-5.64399999999995,235,235,37185000,,1.02,4.23,-75.96,-100% a -75%
-38.381,-6.91899999999993,236,236,37220000,,0.51,2.11,-75.64,-100% a -75%
-37.924,-6.96599999999995,237,237,37380000,,3.9,15.14,-74.22,"-74,9% a -50%"
-37.7979999999999,-6.72599999999994,238,238,37410000,,8.35,33.14,-74.8,"-74,9% a -50%"
-37.353,-6.37799999999993,239,239,37470000,,12.89,44.23,-70.86,"-74,9% a -50%"
-36.785,-6.59399999999994,240,240,37515000,,0.42,1.71,-75.71,-100% a -75%
-36.891,-5.61599999999993,241,241,37710150,,12.54,53.45,-76.53,-100% a -75%
-36.723,-5.25699999999995,242,242,37761000,,14.21,31.65,-55.11,"-74,9% a -50%"
-35.4209999999999,-5.62999999999994,243,243,38170000,,1.42,3.5,-59.25,"-74,9% a -50%"
-35.312,-6.06299999999993,244,244,38485000,,1.29,1.84,-29.77,"-49,9% a -25%"
-35.5289999999999,-6.60499999999996,245,245,38650000,,0.16,1.83,-91.2,-100% a -75%
-35.468,-7.02999999999997,246,246,38750000,,2.52,3.2,-21.42,"-24,9% a -5%"
-35.163,-6.85199999999998,247,247,38790000,,3.43,11.54,-70.25,"-74,9% a -50%"
-36.5049999999999,-7.72099999999995,248,248,38830000,,2.95,4.26,-30.57,"-49,9% a -25%"
-36.434,-7.39799999999997,249,249,38850000,,0.59,2.5,-76.34,-100% a -75%
-35.9999999999999,-7.52799999999996,250,250,38860000,,2.68,6.68,-59.91,"-74,9% a -50%"
-35.3729999999999,-7.33399999999995,251,251,38880000,,4.17,10.15,-58.9,"-74,9% a -50%"
-35.0479999999999,-7.12999999999994,252,252,38895000,,12.2,20.43,-40.3,"-49,9% a -25%"
-35.1179999999999,-7.55799999999994,253,253,39083000,,3.43,4.55,-24.48,"-24,9% a -5%"
-35.2329999999999,-7.75399999999996,254,254,39084010,,1.48,3.68,-59.69,"-74,9% a -50%"
-35.0649999999999,-7.61299999999994,255,255,39084020,,4.07,7.95,-48.78,"-49,9% a -25%"
-36.2019999999999,-7.96199999999993,256,256,39100000,,0.28,0.58,-50.83,"-74,9% a -50%"
-36.0579999999999,-8.01299999999998,257,257,39130000,,0.64,1.69,-62.3,"-74,9% a -50%"
-35.634,-7.94299999999993,258,258,39140000,,1.17,2.78,-58.06,"-74,9% a -50%"
-35.4519999999999,-7.87899999999996,259,259,39145000,,2.54,3.9,-34.91,"-49,9% a -25%"
-35.1729999999999,-7.89399999999995,260,260,39150000,,4.28,7.55,-43.24,"-49,9% a -25%"
-35.2839999999999,-8.11399999999998,261,261,39170000,,1.83,2.03,-9.7,"-24,9% a -5%"
-35.0389999999999,-7.99899999999997,262,262,39187800,,6.27,9.64,-35,"-49,9% a -25%"
-35.0629999999999,-8.27899999999994,263,263,39200000,,5.74,13.83,-58.48,"-74,9% a -50%"
-36.011,-8.30299999999994,264,264,39340000,,0.81,2.3,-64.66,"-74,9% a -50%"
-35.365,-8.28199999999993,265,265,39360000,,5.78,7.27,-20.5,"-24,9% a -5%"
